"","t","i","a","s","open","completed","carried","c_a"
"370",9,12,0.954343383023683,"C_999",165298,35367,173206,0.176248972167543
"371",10,12,0.922187557349972,"C_999",165825,33602,179817,0.168492731676252
"372",11,12,1,"C_999",151738,28577,151147,0.158483764523196
"373",12,12,0.981750677244582,"C_999",162358,31974,165376,0.164532861288928
"374",13,12,0.942451564489722,"C_999",165781,34913,175904,0.173961354101269
"375",14,12,0.942302676195941,"C_999",162567,34449,172521,0.174853818979169
"376",15,12,0.952011025372659,"C_999",146445,35344,153827,0.19442320492439
"377",16,12,0.963310680524855,"C_999",163863,30419,170104,0.15657137562924
"378",17,12,0.926969726966233,"C_999",159195,35328,171737,0.181613485294798
"379",18,12,0.946082121263628,"C_999",155850,39584,164732,0.202544081377856
"380",19,12,0.966661674140772,"C_999",109719,35421,113503,0.244047126911947
"381",20,12,0.920222811355039,"C_999",154464,26217,167855,0.145101034419779
"382",21,12,0.951504860709421,"C_999",152982,40572,160779,0.209615921138287
"383",22,12,0.924937099117616,"C_999",130504,37917,141095,0.225132257853831
"384",23,12,0.883444543432544,"C_999",145771,37325,165003,0.203854808406519
"385",24,12,0.964208478979367,"C_999",141783,34944,147046,0.197728700198611
