"","t","i","a","s","open","completed","carried"
"207",26,5,0.91855961311765,"C_999",578180,73472,629442
"208",27,5,0.928318702486051,"C_999",596636,71150,642706
"209",28,5,0.953788693063339,"C_999",547510,69182,574037
"210",29,5,0.931686370914266,"C_999",576071,68285,618310
"211",30,5,0.922716188630388,"C_999",580836,76658,629485
"212",31,5,0.927646665165418,"C_999",584961,85195,630586
"213",32,5,0.947339996345638,"C_999",585872,62220,618439
"214",33,5,0.94343594836147,"C_999",546273,74909,579025
"215",34,5,0.922656991294712,"C_999",579543,73562,628124
"216",35,5,0.937828993005966,"C_999",574575,70762,612665
"217",0,6,NA,"C_999",275933,44659,NA
"218",1,6,0.924127535773995,"C_999",280798,47029,303852
"219",2,6,0.934758171581406,"C_999",192921,39501,206386
"220",3,6,0.931695856471593,"C_999",239921,35985,257510
"221",4,6,0.924214826030866,"C_999",288709,36213,312383
"222",5,6,0.93889575980614,"C_999",280128,46196,298359
"223",6,6,0.932363676737957,"C_999",335898,49633,360265
"224",7,6,0.923246950139564,"C_999",325800,59164,352885
"225",8,6,0.944439249215149,"C_999",353480,46399,374275
"226",9,6,0.957946830333057,"C_999",349778,51018,365133
"227",10,6,0.923235204519649,"C_999",333371,49359,361090
"228",11,6,0.938415839123032,"C_999",377520,58882,402295
"229",12,6,0.937322676547473,"C_999",386535,47728,412382
"230",13,6,0.94083464357358,"C_999",381770,60091,405778
"231",14,6,0.979803041742359,"C_999",297187,43678,303313
"232",15,6,0.921420614609482,"C_999",414408,51204,449749
"233",16,6,0.957198184620801,"C_999",445861,58618,465798
"234",17,6,0.960441264362574,"C_999",400140,60710,416621
"235",18,6,0.90504109205114,"C_999",439173,56773,485252
"236",19,6,0.948438163074391,"C_999",404525,67291,426517
"237",20,6,0.971829011610855,"C_999",450641,50651,463704
"238",21,6,0.986970655440125,"C_999",449651,64209,455587
"239",22,6,0.940088163633205,"C_999",400502,56766,426026
"240",23,6,0.943860820192573,"C_999",469449,61933,497371
"241",24,6,0.943330576222968,"C_999",480143,51959,508987
"242",25,6,0.946339126634619,"C_999",450412,63063,475952
"243",26,6,0.972493728916184,"C_999",371019,50663,381513
"244",27,6,0.941788113734851,"C_999",489646,58269,519911
"245",28,6,0.96668347627705,"C_999",519487,59245,537391
