"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"245",31,"C_999",2026-10-01,"proc",978980.790655925,"activity",966751.063933191
"246",31,"C_999",2026-10-01,"non_proc",4134525.55907468,"activity",4082875.80435195
"247",31,"C_999",2026-10-01,"dc",235287.674057128,"activity",232348.38864682
"248",31,"C_999",2026-10-01,"ord",52648.9573335526,"activity",51991.2504954083
"249",32,"C_999",2026-11-01,"first",1579585.77249622,"activity",1559220.68824621
"250",32,"C_999",2026-11-01,"fups",3546531.86337521,"activity",3500807.5846114
"251",32,"C_999",2026-11-01,"ncl",637516.333461418,"activity",629297.043272966
"252",32,"C_999",2026-11-01,"cl",3507206.08102243,"activity",3461988.81674605
"253",32,"C_999",2026-11-01,"proc",981395.221387586,"activity",968742.412838589
"254",32,"C_999",2026-11-01,"non_proc",4144722.41448385,"activity",4091285.86001902
"255",32,"C_999",2026-11-01,"dc",235867.956935451,"activity",232826.988284994
"256",32,"C_999",2026-11-01,"ord",52778.8038655676,"activity",52098.3439588933
"257",33,"C_999",2026-12-01,"first",1583481.45713969,"activity",1562432.42757255
"258",33,"C_999",2026-12-01,"fups",3555278.56770636,"activity",3508018.67504792
"259",33,"C_999",2026-12-01,"ncl",639088.620723984,"activity",630593.292147204
"260",33,"C_999",2026-12-01,"cl",3515855.79736529,"activity",3469119.94687658
"261",33,"C_999",2026-12-01,"proc",983815.606756777,"activity",970737.863596689
"262",33,"C_999",2026-12-01,"non_proc",4154944.41808928,"activity",4099713.23902378
"263",33,"C_999",2026-12-01,"dc",236449.670947896,"activity",233306.573760062
"264",33,"C_999",2026-12-01,"ord",52908.9706341596,"activity",52205.6580173785
"265",34,"C_999",2027-01-01,"first",1587386.74959244,"activity",1565650.78255605
"266",34,"C_999",2027-01-01,"fups",3564046.84377002,"activity",3515244.61915007
"267",34,"C_999",2027-01-01,"ncl",640664.785671099,"activity",631892.211081888
"268",34,"C_999",2027-01-01,"cl",3524526.84624211,"activity",3476265.76596759
"269",34,"C_999",2027-01-01,"proc",986241.961449242,"activity",972737.424656635
"270",34,"C_999",2027-01-01,"non_proc",4165191.63191321,"activity",4108157.97704948
"271",34,"C_999",2027-01-01,"dc",237032.819624025,"activity",233787.147102686
"272",34,"C_999",2027-01-01,"ord",53039.4584291183,"activity",52313.1931252537
"273",35,"C_999",2027-02-01,"first",1591301.67354991,"activity",1568875.76682386
"274",35,"C_999",2027-02-01,"fups",3572836.74476788,"activity",3522485.44751396
"275",35,"C_999",2027-02-01,"ncl",642244.837866179,"activity",633193.805576906
"276",35,"C_999",2027-02-01,"cl",3533219.28026467,"activity",3483426.30427594
"277",35,"C_999",2027-02-01,"proc",988674.300186941,"activity",974741.104484977
"278",35,"C_999",2027-02-01,"non_proc",4175464.11813085,"activity",4116620.10985285
"279",35,"C_999",2027-02-01,"dc",237617.406502108,"activity",234268.710347711
"280",35,"C_999",2027-02-01,"ord",53170.2680421814,"activity",52420.9497378444
"281",36,"C_999",2027-03-01,"first",1595226.252766,"activity",1572107.39403124
"282",36,"C_999",2027-03-01,"fups",3581648.32403288,"activity",3529741.19079874
"283",36,"C_999",2027-03-01,"ncl",643828.786896226,"activity",634498.081143473
"284",36,"C_999",2027-03-01,"cl",3541933.15217451,"activity",3490601.59212081
"285",36,"C_999",2027-03-01,"proc",991112.637728146,"activity",976748.911565701
"286",36,"C_999",2027-03-01,"non_proc",4185761.93907074,"activity",4125099.67326429
"287",36,"C_999",2027-03-01,"dc",238203.435129137,"activity",234751.265534175
"288",36,"C_999",2027-03-01,"ord",53301.4002670391,"activity",52528.928311414
"289",37,"C_999",2027-04-01,"first",1599160.51105319,"activity",1575345.67786156
"290",37,"C_999",2027-04-01,"fups",3590481.63502946,"activity",3537011.87972671
"291",37,"C_999",2027-04-01,"ncl",645416.642371887,"activity",635805.043304158
"292",37,"C_999",2027-04-01,"cl",3550668.51484324,"activity",3497791.65988383
"293",37,"C_999",2027-04-01,"proc",993556.988867523,"activity",978760.854400274
"294",37,"C_999",2027-04-01,"non_proc",4196085.15721512,"activity",4133596.70318799
"295",37,"C_999",2027-04-01,"dc",238790.909060855,"activity",235234.814705313
"296",37,"C_999",2027-04-01,"ord",53432.8558993392,"activity",52637.1293031659
"297",38,"C_999",2027-05-01,"first",1603104.47228266,"activity",1578590.63202636
"298",38,"C_999",2027-05-01,"fups",3599336.73135395,"activity",3544297.54508343
"299",38,"C_999",2027-05-01,"ncl",647008.413927511,"activity",637114.697592905
"300",38,"C_999",2027-05-01,"cl",3559425.42127287,"activity",3504996.53800922
"301",38,"C_999",2027-05-01,"proc",996007.368436228,"activity",980776.94150767
"302",38,"C_999",2027-05-01,"non_proc",4206433.83520038,"activity",4142111.23560212
"303",38,"C_999",2027-05-01,"dc",239379.831861773,"activity",235719.359908573
"304",38,"C_999",2027-05-01,"ord",53564.6357366916,"activity",52745.5531712449
"305",39,"C_999",2027-06-01,"first",1607058.16038449,"activity",1581842.27026544
"306",39,"C_999",2027-06-01,"fups",3608213.66673483,"activity",3551598.21771791
"307",39,"C_999",2027-06-01,"ncl",648604.111221206,"activity",638427.049555057
"308",39,"C_999",2027-06-01,"cl",3568203.92459612,"activity",3512216.25700388
"309",39,"C_999",2027-06-01,"proc",998463.791301994,"activity",982797.181424413
"310",39,"C_999",2027-06-01,"non_proc",4216808.03581733,"activity",4150643.30655894
"311",39,"C_999",2027-06-01,"dc",239970.207105193,"activity",236204.903195617
"312",39,"C_999",2027-06-01,"ord",53696.7405786735,"activity",52854.20037474
"313",40,"C_999",2027-07-01,"first",1611021.59934778,"activity",1585100.6063469
"314",40,"C_999",2027-07-01,"fups",3617112.49503311,"activity",3558913.92854268
"315",40,"C_999",2027-07-01,"ncl",650203.743934903,"activity",639742.104747379
"316",40,"C_999",2027-07-01,"cl",3577004.07807677,"activity",3519450.84743759
"317",40,"C_999",2027-07-01,"proc",1000926.27236922,"activity",984821.58270461
"318",40,"C_999",2027-07-01,"non_proc",4227207.82201167,"activity",4159192.95218497
"319",40,"C_999",2027-07-01,"dc",240562.03837323,"activity",236691.446622334
"320",40,"C_999",2027-07-01,"ord",53829.1712268339,"activity",52963.0713736854
"321",41,"C_999",2027-08-01,"first",1614994.81322078,"activity",1588365.6540672
"322",41,"C_999",2027-08-01,"fups",3626033.27024263,"activity",3566244.70853394
"323",41,"C_999",2027-08-01,"ncl",651807.321774409,"activity",641059.868738083
"324",41,"C_999",2027-08-01,"cl",3585825.93510994,"activity",3526700.33994307
"325",41,"C_999",2027-08-01,"proc",1003394.82657907,"activity",986850.153919989
"326",41,"C_999",2027-08-01,"non_proc",4237633.25688434,"activity",4167760.20868115
"327",41,"C_999",2027-08-01,"dc",241155.329256834,"activity",237178.992248848
"328",41,"C_999",2027-08-01,"ord",53961.9284846988,"activity",53072.1666290632
"329",42,"C_999",2027-09-01,"first",1618977.82611106,"activity",1591637.42725122
"330",42,"C_999",2027-09-01,"fups",3634976.0464904,"activity",3573590.58873171
"331",42,"C_999",2027-09-01,"ncl",653414.854469467,"activity",642380.34710685
"332",42,"C_999",2027-09-01,"cl",3594669.54922244,"activity",3533964.76521615
"333",42,"C_999",2027-09-01,"proc",1005869.46890955,"activity",988882.903659933
"334",42,"C_999",2027-09-01,"non_proc",4248084.40369191,"activity",4176345.112323
"335",42,"C_999",2027-09-01,"dc",241750.08335581,"activity",237667.542139527
"336",42,"C_999",2027-09-01,"ord",54095.0131577758,"activity",53181.4866028049
"337",43,"C_999",2027-10-01,"first",1622970.66218563,"activity",1594915.93975232
"338",43,"C_999",2027-10-01,"fups",3643940.8780369,"activity",3580951.60023995
"339",43,"C_999",2027-10-01,"ncl",655026.351773819,"activity",643703.545444855
"340",43,"C_999",2027-10-01,"cl",3603534.97407311,"activity",3541244.15401589
"341",43,"C_999",2027-10-01,"proc",1008350.2143756,"activity",990919.840531519
"342",43,"C_999",2027-10-01,"non_proc",4258561.32584693,"activity",4184947.69946075
"343",43,"C_999",2027-10-01,"dc",242346.304278842,"activity",238157.09836299
