t,i,s,z
40,0,C_999,1839615.7774477254
41,25,C_999,5.502909800982022e-05
41,24,C_999,-0.0002982949945910338
41,23,C_999,0.001144270673542449
41,22,C_999,-0.0031804638206782906
41,21,C_999,0.0037508593264080434
41,20,C_999,0.012463497367671026
41,19,C_999,-0.08165765533564377
41,18,C_999,0.4567760619856698
41,17,C_999,-2.3154197913659034
41,16,C_999,13.844787725419863
41,15,C_999,221.98781577379611
41,14,C_999,735.2927760141637
41,13,C_999,1819.6104201366957
41,12,C_999,3640.1759120547126
41,11,C_999,6065.681503769572
41,10,C_999,9308.58239689925
41,9,C_999,13809.474350168637
41,8,C_999,19615.269772585412
41,7,C_999,26960.420450911923
41,6,C_999,37402.40244376333
41,5,C_999,52033.20888579728
41,4,C_999,76637.4380079147
41,3,C_999,114828.93343543622
41,2,C_999,185769.62932781485
41,1,C_999,375467.79562981986
41,0,C_999,1841899.637838413
42,25,C_999,0.00016036926226385955
42,24,C_999,-0.0005954476612750525
42,23,C_999,0.0014610207993630536
42,22,C_999,-0.0017222215675954129
42,21,C_999,-0.006611016379868537
42,20,C_999,0.04259743733042341
42,19,C_999,-0.13570222927351847
42,18,C_999,0.5035723008959968
42,17,C_999,-1.6681258105587138
42,16,C_999,4.72611737578853
42,15,C_999,167.1199742571414
42,14,C_999,591.0837698355095
42,13,C_999,1517.0865025039895
42,12,C_999,3094.120007005464
42,11,C_999,5207.545874055375
42,10,C_999,8038.165740274881
42,9,C_999,11969.26479684754
42,8,C_999,17029.998104041297
42,7,C_999,23422.555383649502
42,6,C_999,32502.107346655226
42,5,C_999,45159.84681649038
42,4,C_999,66488.61286806503
42,3,C_999,99531.65294265567
42,2,C_999,161214.09608387947
42,1,C_999,329883.5636593532
42,0,C_999,1844186.333613722
43,25,C_999,0.0003111716479012733
43,24,C_999,-0.0008352106571786291
43,23,C_999,0.0008759305233944662
43,22,C_999,0.0033608950949448758
43,21,C_999,-0.02479421621464599
43,20,C_999,0.07775622713045857
43,19,C_999,-0.17020727849636513
43,18,C_999,0.4266656614549376
43,17,C_999,-0.7326813758450451
43,16,C_999,-1.5248457266173632
43,15,C_999,120.11587222729898
43,14,C_999,461.03953670008457
43,13,C_999,1236.0623053116485
43,12,C_999,2578.340804385997
43,11,C_999,4389.258974761598
43,10,C_999,6818.920255400785
43,9,C_999,10193.800379302362
43,8,C_999,14524.692210940646
43,7,C_999,19978.000091587674
43,6,C_999,27702.48527934152
43,5,C_999,38381.33581375783
43,4,C_999,56366.369962797944
43,3,C_999,84024.5433827671
43,2,C_999,135605.53596100886
43,1,C_999,279222.3915121432
43,0,C_999,1846475.8682937468
44,25,C_999,0.00040743599563891413
44,24,C_999,-0.0005507267762241998
44,23,C_999,-0.0018934820551197605
44,22,C_999,0.013962886533580111
44,21,C_999,-0.04972568194766022
44,20,C_999,0.10724944225462263
44,19,C_999,-0.16363666150569925
44,18,C_999,0.21861802016684492
44,17,C_999,0.2950002637187973
44,16,C_999,-5.161019183525966
44,15,C_999,81.34069717590937
44,14,C_999,346.8320612062473
44,13,C_999,980.455024656735
44,12,C_999,2099.9997231016123
44,11,C_999,3621.9454694362385
44,10,C_999,5667.080546426958
44,9,C_999,8506.33662082919
44,8,C_999,12131.889710175878
44,7,C_999,16671.379384571832
44,6,C_999,23065.582481784117
44,5,C_999,31785.234895425736
44,4,C_999,46396.37347102348
44,3,C_999,68477.16756613717
44,2,C_999,109095.12886331014
44,1,C_999,222670.7298046851
44,0,C_999,1848768.2454029538
