"","t","s","first","fups","dc","ord","date"
"102",102,"C_999",1795150.06689659,4030523.07930567,268056.591825531,59981.4678884253,2032-08-01
"103",103,"C_999",1798847.78211419,4038825.29693086,268608.744515744,60105.0198915003,2032-09-01
"104",104,"C_999",1802553.11401972,4047144.61576503,269162.034550094,60228.8263914724,2032-10-01
"105",105,"C_999",1806266.07830229,4055481.07103389,269716.464271325,60352.8879125637,2032-11-01
"106",106,"C_999",1809986.69068337,4063834.69803566,270272.036027005,60477.2049800757,2032-12-01
"107",107,"C_999",1813714.96691677,4072205.53214132,270828.752169538,60601.7781203924,2033-01-01
"108",108,"C_999",1817450.92278878,4080593.60879468,271386.615056173,60726.6078609817,2033-02-01
"109",109,"C_999",1821194.5741182,4088998.96351256,271945.627049015,60851.6947303983,2033-03-01
"110",110,"C_999",1824945.93675641,4097421.63188496,272505.790515036,60977.0392582854,2033-04-01
"111",111,"C_999",1828705.02658744,4105861.64957515,273067.107826081,61102.6419753772,2033-05-01
"112",112,"C_999",1832471.85952805,4114319.0523199,273629.581358882,61228.5034135013,2033-06-01
"113",113,"C_999",1836246.45152777,4122793.87592958,274193.213495067,61354.6241055806,2033-07-01
"114",114,"C_999",1840028.818569,4131286.1562883,274758.006621169,61481.0045856359,2033-08-01
"115",115,"C_999",1843818.97666705,4139795.92935412,275323.963128637,61607.6453887877,2033-09-01
"116",116,"C_999",1847616.94187021,4148323.23115915,275891.085413846,61734.5470512592,2033-10-01
"117",117,"C_999",1851422.73025985,4156868.09780973,276459.375878108,61861.7101103777,2033-11-01
"118",118,"C_999",1855236.35795045,4165430.56548655,277028.83692768,61989.1351045775,2033-12-01
"119",119,"C_999",1859057.84108969,4174010.67044485,277599.470973776,62116.8225734021,2034-01-01
"120",120,"C_999",1862887.1958585,4182608.44901454,278171.280432577,62244.7730575062,2034-02-01
"121",121,"C_999",1866724.43847115,4191223.93760037,278744.26772524,62372.9870986582,2034-03-01
"122",122,"C_999",1870569.58517532,4199857.17268207,279318.435277911,62501.4652397424,2034-04-01
"123",123,"C_999",1874422.65225213,4208508.19081452,279893.785521733,62630.2080247616,2034-05-01
"124",124,"C_999",1878283.65601625,4217177.02862789,280470.320892854,62759.2159988388,2034-06-01
"125",125,"C_999",1882152.61281597,4225863.72282781,281048.043832443,62888.4897082201,2034-07-01
"126",126,"C_999",1886029.53903322,4234568.3101955,281626.956786698,63018.0297002767,2034-08-01
"127",127,"C_999",1889914.45108372,4243290.82758797,282207.062206852,63147.8365235073,2034-09-01
"128",128,"C_999",1893807.36541696,4252031.31193813,282788.362549192,63277.9107275406,2034-10-01
"129",129,"C_999",1897708.29851634,4260789.80025496,283370.86027506,63408.252863137,2034-11-01
"130",130,"C_999",1901617.26689921,4269566.32962371,283954.557850871,63538.8634821919,2034-12-01
"131",131,"C_999",1905534.28711693,4278360.93720596,284539.45774812,63669.7431377371,2035-01-01
"132",132,"C_999",1909459.37575496,4287173.6602399,285125.562443391,63800.8923839438,2035-02-01
