"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"287",36,"C_999",2027-02-01,"dc",253000.194543909,"activity",234015.827626569
"288",36,"C_999",2027-02-01,"ord",56612.385248403,"activity",52364.3636389375
"289",37,"C_999",2027-03-01,"first",1701491.43864554,"activity",1570410.37356641
"290",37,"C_999",2027-03-01,"fups",3820238.00637326,"activity",3525930.99115266
"291",37,"C_999",2027-03-01,"ncl",686717.114238818,"activity",633813.168501573
"292",37,"C_999",2027-03-01,"cl",3777877.22853114,"activity",3486833.64194204
"293",37,"C_999",2027-03-01,"proc",1057135.10224885,"activity",975694.554275467
"294",37,"C_999",2027-03-01,"non_proc",4464594.34276995,"activity",4120646.81044361
"295",37,"C_999",2027-03-01,"dc",254071.235867278,"activity",234497.861916032
"296",37,"C_999",2027-03-01,"ord",56852.0459495531,"activity",52472.2256544082
"297",38,"C_999",2027-04-01,"first",1708694.46726547,"activity",1573645.16181242
"298",38,"C_999",2027-04-01,"fups",3836410.45547871,"activity",3533193.8316932
"299",38,"C_999",2027-04-01,"ncl",689624.236140997,"activity",635118.719854357
"300",38,"C_999",2027-04-01,"cl",3793870.34914381,"activity",3494015.94834462
"301",38,"C_999",2027-04-01,"proc",1061610.33745937,"activity",977704.325306652
"302",38,"C_999",2027-04-01,"non_proc",4483494.58528481,"activity",4129134.66819897
"303",38,"C_999",2027-04-01,"dc",255146.811295921,"activity",234980.889117207
"304",38,"C_999",2027-04-01,"ord",57092.7212211267,"activity",52580.3098479705
"305",39,"C_999",2027-05-01,"first",1715927.98891059,"activity",1576886.61319259
"306",39,"C_999",2027-05-01,"fups",3852651.36841014,"activity",3540471.63249611
"307",39,"C_999",2027-05-01,"ncl",692543.664941577,"activity",636426.960429169
"308",39,"C_999",2027-05-01,"cl",3809931.1744201,"activity",3501213.04912243
"309",39,"C_999",2027-05-01,"proc",1066104.51795905,"activity",979718.236137101
"310",39,"C_999",2027-05-01,"non_proc",4502474.83936167,"activity",4137640.0095516
"311",39,"C_999",2027-05-01,"dc",256226.940024345,"activity",235464.911275331
"312",39,"C_999",2027-05-01,"ord",57334.4153581673,"activity",52688.616677275
"313",40,"C_999",2027-06-01,"first",1723192.1326689,"activity",1580134.74143187
"314",40,"C_999",2027-06-01,"fups",3868961.03499968,"activity",3547764.42437707
"315",40,"C_999",2027-06-01,"ncl",695475.452740107,"activity",637737.895765367
"316",40,"C_999",2027-06-01,"cl",3826059.99097832,"activity",3508424.97474945
"317",40,"C_999",2027-06-01,"proc",1070617.72395015,"activity",981736.295294122
"318",40,"C_999",2027-06-01,"non_proc",4521535.44371843,"activity",4146162.87051482
"319",40,"C_999",2027-06-01,"dc",257311.641328314,"activity",235949.930439851
"320",40,"C_999",2027-06-01,"ord",57577.1326739009,"activity",52797.1466009147
