"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"113",113,"C_999",1836246.45152777,4122793.87592958,741103.85487935,4077078.20188629,1140858.27069171,4818182.05676564,274193.213495067,61354.6241055806,2033-07-01
"114",114,"C_999",1840028.818569,4131286.1562883,742630.407479351,4085476.31544152,1143208.25193643,4828106.72292087,274758.006621169,61481.0045856359,2033-08-01
"115",115,"C_999",1843818.97666705,4139795.92935412,744160.104527765,4093891.72773565,1145563.07375775,4838051.83226342,275323.963128637,61607.6453887877,2033-09-01
"116",116,"C_999",1847616.94187021,4148323.23115915,745692.952501641,4102324.47440125,1147922.74612647,4848017.42690289,275891.085413846,61734.5470512592,2033-10-01
"117",117,"C_999",1851422.73025985,4156868.09780973,747228.95789137,4110774.59114428,1150287.27903392,4858003.54903566,276459.375878108,61861.7101103777,2033-11-01
"118",118,"C_999",1855236.35795045,4165430.56548655,748768.127200712,4119242.11374427,1152656.68249201,4868010.24094498,277028.83692768,61989.1351045775,2033-12-01
"119",119,"C_999",1859057.84108969,4174010.67044485,750310.466946822,4127727.07805443,1155030.96653329,4878037.54500125,277599.470973776,62116.8225734021,2034-01-01
"120",120,"C_999",1862887.1958585,4182608.44901454,751855.983660282,4136229.52000181,1157410.14121094,4888085.5036621,278171.280432577,62244.7730575062,2034-02-01
"121",121,"C_999",1866724.43847115,4191223.93760037,753404.683885123,4144749.47558751,1159794.21659889,4898154.15947263,278744.26772524,62372.9870986582,2034-03-01
"122",122,"C_999",1870569.58517532,4199857.17268207,754956.57417886,4153286.98088674,1162183.2027918,4908243.55506559,279318.435277911,62501.4652397424,2034-04-01
"123",123,"C_999",1874422.65225213,4208508.19081452,756511.661112509,4161842.07204903,1164577.10990511,4918353.73316154,279893.785521733,62630.2080247616,2034-05-01
"124",124,"C_999",1878283.65601625,4217177.02862789,758069.951270628,4170414.7852984,1166975.94807512,4928484.73656902,280470.320892854,62759.2159988388,2034-06-01
"125",125,"C_999",1882152.61281597,4225863.72282781,759631.451251333,4179005.15693344,1169379.727459,4938636.60818478,281048.043832443,62888.4897082201,2034-07-01
"126",126,"C_999",1886029.53903322,4234568.3101955,761196.167666334,4187613.22332755,1171788.45823484,4948809.39099389,281626.956786698,63018.0297002767,2034-08-01
"127",127,"C_999",1889914.45108372,4243290.82758797,762764.107140958,4196239.02092904,1174202.1506017,4959003.12807,282207.062206852,63147.8365235073,2034-09-01
"128",128,"C_999",1893807.36541696,4252031.31193813,764335.276314181,4204882.58626128,1176620.81477963,4969217.86257546,282788.362549192,63277.9107275406,2034-10-01
"129",129,"C_999",1897708.29851634,4260789.80025496,765909.681838654,4213543.95592289,1179044.46100977,4979453.63776154,283370.86027506,63408.252863137,2034-11-01
"130",130,"C_999",1901617.26689921,4269566.32962371,767487.330380729,4222223.16658787,1181473.09955431,4989710.4969686,283954.557850871,63538.8634821919,2034-12-01
"131",131,"C_999",1905534.28711693,4278360.93720596,769068.228620492,4230920.25500578,1183906.74069662,4999988.48362627,284539.45774812,63669.7431377371,2035-01-01
"132",132,"C_999",1909459.37575496,4287173.6602399,770652.383251788,4239635.25800185,1186345.39474122,5010287.64125364,285125.562443391,63800.8923839438,2035-02-01
"133",133,"C_999",1913392.54943293,4296004.53604038,772239.800982251,4248368.21247719,1188789.07201386,5020608.01345944,285712.874418371,63932.3117761245,2035-03-01
"134",134,"C_999",1917333.8248047,4304853.60199912,773830.48853333,4257119.1554089,1191237.78286159,5030949.64394223,286301.396159859,64064.0018707359,2035-04-01
"135",135,"C_999",1921283.21855843,4313720.89558488,775424.452640321,4265888.12385025,1193691.53765274,5041312.57649057,286891.130159775,64195.9632253805,2035-05-01
"136",136,"C_999",1925240.74741665,4322606.45434359,777021.700052393,4274675.15493085,1196150.346777,5051696.85498324,287482.078915175,64328.1963988096,2035-06-01
"137",137,"C_999",1929206.42813636,4331510.3158985,778622.237532615,4283480.28585677,1198614.22064547,5062102.52338939,288074.244928254,64460.7019509255,2035-07-01
"138",138,"C_999",1933180.27750905,4340432.51795038,780226.071857991,4292303.55391074,1201083.16969071,5072529.62576873,288667.630706365,64593.4804427835,2035-08-01
"139",139,"C_999",1937162.31236081,4349373.09827766,781833.209819481,4301144.99645226,1203557.20436674,5082978.20627174,289262.238762023,64726.5324365949,2035-09-01
"140",140,"C_999",1941152.54955238,4358332.09473657,783443.658222035,4310004.6509178,1206036.33514912,5093448.30913984,289858.071612921,64859.858495729,2035-10-01
"141",141,"C_999",1945151.00597925,4367309.54526133,785057.423884619,4318882.55482095,1208520.57253501,5103939.97870557,290455.131781936,64993.4591847154,2035-11-01
"142",142,"C_999",1949157.69857169,4376305.48786429,786674.513640246,4327778.74575256,1211009.92704317,5114453.25939281,291053.421797143,65127.3350692466,2035-12-01
"143",143,"C_999",1953172.64429485,4385319.96063611,788294.934336003,4336693.26138092,1213504.40921403,5124988.19571692,291652.944191822,65261.4867161804,2036-01-01
"144",144,"C_999",1957195.86014883,4394353.00174589,789918.692833081,4345626.13945189,1216004.02960974,5135544.83228498,292253.701504475,65395.9146935423,2036-02-01
