"","t","i","a","s","open","completed","carried","c_a"
"259",6,7,0.957300415677685,"C_999",235135,34505,245623,0.127966918854769
"260",7,7,0.92053415061296,"C_999",269120,43546,292352,0.139273218066563
"261",8,7,0.956451585217227,"C_999",278600,34515,291285,0.110231065263561
"262",9,7,0.967530334647191,"C_999",300453,42944,310536,0.125056421576193
"263",10,7,0.929827520222103,"C_999",286690,41452,308326,0.126323360008777
"264",11,7,0.969103463468701,"C_999",281542,42853,290518,0.13210129625919
"265",12,7,0.946171804531225,"C_999",320985,38274,339246,0.106535953170275
"266",13,7,0.953499852202187,"C_999",322569,48235,338300,0.13008219976052
"267",14,7,0.947827663374752,"C_999",318926,45289,336481,0.124346883022391
"268",15,7,0.968246007955595,"C_999",254853,33976,263211,0.117633617122934
"269",16,7,0.960417257826962,"C_999",355388,44373,370035,0.110998821796023
"270",17,7,0.955064318657856,"C_999",377089,51030,394831,0.119195831065662
"271",18,7,0.922419594557831,"C_999",322108,50941,349199,0.136553106964501
"272",19,7,0.93838645722129,"C_999",363027,52310,386863,0.125945918615486
"273",20,7,0.976275050803774,"C_999",354546,41363,363162,0.104476028582326
"274",21,7,0.987365456140661,"C_999",390506,55138,395503,0.123726562009137
"275",22,7,0.934968416946321,"C_999",373892,49753,399898,0.117440309693257
"276",23,7,0.974572942696623,"C_999",342424,49144,351358,0.125505659298002
"277",24,7,0.950401284483744,"C_999",407246,40950,428499,0.0913662772537015
"278",25,7,0.964325926203356,"C_999",411961,52942,427201,0.113877518536125
"279",26,7,0.953888066899293,"C_999",377795,54354,396058,0.125776063348521
"280",27,7,0.985462825379446,"C_999",327625,38561,332458,0.10530440814231
"281",28,7,0.96418097034784,"C_999",425737,48093,441553,0.101498427706139
"282",29,7,0.961789491787772,"C_999",447386,54327,465160,0.108283022365376
"283",30,7,0.956192966579422,"C_999",391998,56464,409957,0.125905873853303
"284",31,7,0.959030332069693,"C_999",408311,58064,425754,0.124500670061646
"285",32,7,0.971833307766103,"C_999",424455,45598,436757,0.0970060822928478
"286",33,7,0.965731692403473,"C_999",434333,60355,449745,0.122006193802963
"287",34,7,0.952166774898704,"C_999",416413,54682,437332,0.116074252539297
"288",35,7,0.968828598724873,"C_999",397522,48439,410312,0.108617121228089
"289",0,8,NA,"C_999",168571,24850,NA,0.128476225435708
"290",1,8,0.940692416042701,"C_999",190335,29403,202335,0.133809354777053
"291",2,8,0.960126890399987,"C_999",183414,32338,191031,0.14988505320924
