"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"57",57,"C_999",1925366.77932591,4322889.42484747,777072.566173172,4274954.98771121,1196228.65028899,5052027.55388438,287500.898335723,64332.4075113273,2028-12-01
"58",58,"C_999",1934738.59948111,4343931.3077113,780855.006181961,4295763.54727846,1202051.35373199,5076618.55346042,288900.323495953,64645.5487578789,2029-01-01
"59",59,"C_999",1944156.0374448,4365075.61300396,784655.857408753,4316673.39356159,1207902.39947842,5101329.25097035,290306.560428914,64960.2142352822,2029-02-01
"60",60,"C_999",1953619.31526398,4386322.8392718,788475.209471083,4337685.01957882,1213781.92548588,5126160.22904991,291719.642291252,65276.411362808,2029-03-01
"61",61,"C_999",1818362.59648569,4082640.52506311,733885.981755205,4037370.09217308,1129747.04762052,4771256.07392828,271522.748602085,60757.0696745005,2029-04-01
"62",62,"C_999",1822551.94727347,4092046.57715246,735576.791839919,4046671.84508467,1132349.88750135,4782248.63692459,272148.313625779,60897.0487293908,2029-05-01
"63",63,"C_999",1826750.94996459,4101474.29997559,737271.497405421,4055995.02843372,1134958.72410105,4793266.52583914,272775.319897402,61037.3502839657,2029-06-01
"64",64,"C_999",1830959.62679621,4110923.74346,738970.107426563,4065339.69159409,1137573.57123555,4804309.79902066,273403.770737463,61177.9750812367,2029-07-01
"65",65,"C_999",1835178.0000567,4120394.95764821,740672.630898875,4074705.88405344,1140194.44275261,4815378.51495231,274033.669474126,61318.923865927,2029-08-01
"66",66,"C_999",1839406.09208582,4129887.99269806,742379.076838611,4084093.6554134,1142821.35253188,4826472.73225201,274665.019443217,61460.197384476,2029-09-01
"67",67,"C_999",1843643.92527477,4139402.89888293,744089.454282798,4093503.05538991,1145454.31448499,4837592.50967271,275297.823988253,61601.7963850423,2029-10-01
"68",68,"C_999",1847891.52206633,4148939.72659204,745803.772289284,4102934.13381344,1148093.34255564,4848737.90610272,275932.086460451,61743.7216175086,2029-11-01
"69",69,"C_999",1852148.90495501,4158498.52633068,747522.039936785,4112386.94062926,1150738.45071964,4859908.98056604,276567.810218748,61885.9738334849,2029-12-01
"70",70,"C_999",1856416.09648713,4168079.34872051,749244.266324933,4121861.52589771,1153389.652985,4871105.79222264,277204.998629824,62028.5537863132,2030-01-01
"71",71,"C_999",1860693.11926097,4177682.24449984,750970.460574327,4131357.93979447,1156046.96339201,4882328.4003688,277843.65506811,62171.4622310709,2030-02-01
"72",72,"C_999",1864979.99592685,4187307.26452384,752700.631826575,4140876.23261083,1158710.39601329,4893576.86443741,278483.782915817,62314.6999245751,2030-03-01
"73",73,"C_999",1869276.7491873,4196954.45976488,754434.789244352,4150416.45475393,1161379.96495389,4904851.24399828,279125.385562944,62458.2676253866,2030-04-01
"74",74,"C_999",1873583.40179713,4206623.88131274,756172.942011438,4159978.65674705,1164055.68435138,4916151.59875849,279768.466407301,62602.1660938138,2030-05-01
"75",75,"C_999",1877899.9765636,4216315.58037492,757915.099332774,4169562.88922986,1166737.56837588,4927477.98856264,280413.028854529,62746.3960919168,2030-06-01
"76",76,"C_999",1882226.4963465,4226029.60827689,759661.270434508,4179169.20295873,1169425.63123015,4938830.47339324,281059.076318113,62890.9583835114,2030-07-01
"77",77,"C_999",1886562.98405829,4235766.01646237,761411.464564044,4188797.64880694,1172119.88714968,4950209.11337098,281706.612219401,63035.8537341731,2030-08-01
"78",78,"C_999",1890909.46266423,4245524.85649362,763165.690990093,4198448.27776498,1174820.35040277,4961613.96875507,282355.639987628,63181.0829112414,2030-09-01
"79",79,"C_999",1895265.95518246,4255306.18005166,764923.959002717,4208121.14094083,1177527.03529057,4973045.09994355,283006.163059924,63326.6466838236,2030-10-01
"80",80,"C_999",1899632.48468419,4265110.03893662,766686.277913385,4217816.28956022,1180239.9561472,4984502.5674736,283658.184881344,63472.5458227989,2030-11-01
"81",81,"C_999",1904009.07429375,4274936.48506794,768452.657055016,4227533.77496688,1182959.1273398,4995986.4320219,284311.708904874,63618.7811008226,2030-12-01
"82",82,"C_999",1908395.74718877,4284785.57048469,770223.105782032,4237273.64862285,1185684.56326859,5007496.75440488,284966.738591459,63765.35329233,2031-01-01
"83",83,"C_999",1912792.52660028,4294657.34734584,771997.633470409,4247035.96210872,1188416.27836698,5019033.59557913,285623.277410018,63912.263173541,2031-02-01
"84",84,"C_999",1917199.4358128,4304551.86793052,773776.24951772,4256820.76712394,1191154.28710166,5030597.01664166,286281.32883746,64059.5115224633,2031-03-01
"85",85,"C_999",1921616.49816454,4314469.1846383,775558.963343195,4266628.11548705,1193898.6039726,5042187.07883024,286940.896358706,64207.0991188975,2031-04-01
"86",86,"C_999",1926043.73704745,4324409.3499895,777345.784387759,4276458.05913597,1196649.24351322,5053803.84352373,287601.983466706,64355.0267444407,2031-05-01
"87",87,"C_999",1930481.17590738,4334372.41662542,779136.722114092,4286310.6501283,1199406.2202904,5065447.3722424,288264.593662456,64503.2951824905,2031-06-01
"88",88,"C_999",1934928.83824421,4344358.43730864,780931.786006675,4296185.94064158,1202169.54890459,5077117.72664826,288928.73045502,64651.9052182497,2031-07-01
"89",89,"C_999",1939386.74761193,4354367.46492332,782730.985571839,4306083.98297354,1204939.24398987,5088814.96854538,289594.397361545,64800.85763873,2031-08-01
"90",90,"C_999",1943854.92761883,4364399.55247544,784534.330337817,4316004.82954241,1207715.32021405,5100539.15988022,290261.597907282,64950.1532327563,2031-09-01
"91",91,"C_999",1948333.40192757,4374454.75309311,786341.829854795,4325948.53288718,1210497.79227871,5112290.36274198,290930.335625603,65099.7927909707,2031-10-01
"92",92,"C_999",1952822.19425535,4384533.12002685,788153.493694961,4335915.14566791,1213286.67491933,5124068.63936287,291600.614058021,65249.7771058373,2031-11-01
"93",93,"C_999",1957321.32837398,4394634.70664985,789969.331452557,4345904.72066596,1216081.98290531,5135874.05211851,292272.43675421,65400.1069716457,2031-12-01
"94",94,"C_999",1961830.82811006,4404759.56645827,791789.35274393,4355917.31078429,1218883.73104011,5147706.66352822,292945.80727202,65550.7831845154,2032-01-01
"95",95,"C_999",1966350.71734509,4414907.75307153,793613.567207581,4365952.96904777,1221691.93416126,5159566.53625535,293620.729177499,65701.8065424002,2032-02-01
"96",96,"C_999",1970881.02001556,4425079.32023258,795441.984504218,4376011.74860342,1224506.60714051,5171453.73310763,294297.206044909,65853.1778450923,2032-03-01
"97",97,"C_999",1975421.76011315,4435274.32180818,797274.614316805,4386093.70272069,1227327.76488384,5183368.31703749,294975.24145675,66004.8978942267,2032-04-01
"98",98,"C_999",1979972.96168478,4445492.81178921,799111.466350617,4396198.88479178,1230155.4223316,5195310.3511424,295654.839003774,66156.9674932851,2032-05-01
"99",99,"C_999",1984534.64883279,4455734.84429094,800952.550333288,4406327.3483319,1232989.59445854,5207279.89866519,296336.002285006,66309.3874476003,2032-06-01
"100",100,"C_999",1989106.84571505,4466000.47355329,802797.876014863,4416479.14697955,1235830.29627392,5219277.02299441,297018.734907761,66462.1585643608,2032-07-01
"101",101,"C_999",1993689.57654507,4476289.75394118,804647.453167851,4426654.3344968,1238677.54282159,5231301.78766465,297703.040487669,66615.2816526145,2032-08-01
"102",102,"C_999",1998282.86559216,4486602.73994476,806501.291587276,4436852.9647696,1241531.34918004,5243354.25635688,298388.922648686,66768.7575232735,2032-09-01
"103",103,"C_999",2002886.73718155,4496939.48617973,808359.40109073,4447075.09180803,1244391.73046252,5255434.49289876,299076.38502312,66922.586989118,2032-10-01
"104",104,"C_999",2007501.2156945,4507300.04738761,810221.791518421,4457320.76974662,1247258.70181707,5267542.56126504,299765.431251646,67076.7708648009,2032-11-01
"105",105,"C_999",2012126.32556845,4517684.47843605,812088.47273323,4467590.05284461,1250132.27842666,5279678.52557784,300456.064983329,67231.3099668518,2032-12-01
"106",106,"C_999",2016762.09129715,4528092.8343191,813959.454620761,4477882.99548626,1253012.47550923,5291842.45010702,301148.289875637,67386.2051136819,2033-01-01
"107",107,"C_999",2021408.53743075,4538525.17015754,815834.747089394,4488199.65218112,1255899.30831778,5304034.39927051,301842.109594469,67541.4571255874,2033-02-01
"108",108,"C_999",2026065.688576,4548981.54119909,817714.360070337,4498540.07756432,1258792.79214044,5316254.43763465,302537.527814167,67697.066824755,2033-03-01
"109",109,"C_999",2030733.56939632,4559462.00281881,819598.303517677,4508904.32639687,1261692.94230059,5328502.62991455,303234.54821754,67853.0350352652,2033-04-01
"110",110,"C_999",2035412.20461196,4569966.61051932,821486.587408435,4519292.45356596,1264599.77415688,5340779.04097439,303933.17449588,68009.3625830972,2033-05-01
"111",111,"C_999",2040101.61900011,4580495.41993109,823379.221742621,4529704.5140852,1267513.30310338,5353083.73582782,304633.410348986,68166.0502961332,2033-06-01
"112",112,"C_999",2044801.83739507,4591048.48681279,825276.21654328,4540140.56309498,1270433.54456959,5365416.77963826,305335.259485179,68323.099004163,2033-07-01
"113",113,"C_999",2049512.88468833,4601625.86705154,827177.581856552,4550600.65586272,1273360.5140206,5377778.23771927,306038.725621324,68480.5095388878,2033-08-01
"114",114,"C_999",2054234.78582874,4612227.61666322,829083.327751721,4561084.84778315,1276294.22695709,5390168.17553487,306743.812482849,68638.2827339252,2033-09-01
"115",115,"C_999",2058967.56582263,4622853.79179276,830993.464321271,4571593.19437866,1279234.69891547,5402586.65869993,307450.523803768,68796.4194248134,2033-10-01
"116",116,"C_999",2063711.24973395,4633504.44871447,832908.001680937,4582125.75129953,1282181.94546795,5415033.75298047,308158.863326693,68954.9204490154,2033-11-01
"117",117,"C_999",2068465.86268437,4644179.64383226,834826.949969761,4592682.57432426,1285135.98222261,5427509.52429403,308868.834802862,69113.7866459238,2033-12-01
"118",118,"C_999",2073231.42985347,4654879.43368005,836750.319350144,4603263.71935988,1288096.82482349,5440014.03871002,309580.441992155,69273.018856865,2034-01-01
"119",119,"C_999",2078007.97647882,4665603.87492195,838678.120007898,4613869.24244219,1291064.48895068,5452547.36245009,310293.688663115,69432.617925104,2034-02-01
"120",120,"C_999",2082795.52785613,4676353.02435267,840610.362152307,4624499.19973612,1294038.99032038,5465109.56188843,311008.578592964,69592.5846958482,2034-03-01
"121",121,"C_999",2087594.10933942,4687126.93889775,842547.056016172,4635153.64753599,1297020.34468501,5477700.70355216,311725.115567631,69752.9200162527,2034-04-01
